CODICE_VIA;DENOMINAZIONE;UBICAZIONE;NUMERO_DELIBERAZIONE;DATA_DELIBERAZIONE;GIUNTA;NOTE_DENOMINAZIONE
092009_000097;PIAZZA BELGIO;VIA DUBLINO - VIA PRAGA;2303;05/07/1968;G.M.;REGNO SITUATO NELL'EUROPA CENTRALE TRA I PAESI BASSI E LA GERMANIA.;
092009_000098;VIA BELGRADO;VIA GALVANI - VIA COSTANTINOPOLI;2303;05/07/1968;G.M.;CAPITALE DELLA JUGOSLAVIA - SUL DANUBIO.;
092009_000099;VIA SAVERIO BELGRANO;VIA CAPULA - VIA MAINAS;4799;16/11/1964;G.M.;ARCHITETTO MILITARE E CIVILE. SECOLO XVIII COSTRUI' IL PALAZZO DELL'UNIVERSITA' DI CAGLIARI NEL 1765.;
092009_000100;VIA BELLAVISTA;VIA RIVA VILLASANTA - VIA DEI TRALCI;83;27/12/1956;C.C.;DENOMINAZIONE TRADIZIONALE - VEDUTA.;
092009_000101;VIA VINCENZO BELLINI;VIA S.BENEDETTO - VIA CIMAROSA;219;03/12/1925;C.P.;MUSICISTA.(NATO A CATANIA NEL 1801 - MORTO A PUTEAUX-PARIS NEL 1835).;
092009_000102;VIA BELVEDERE;VIALE BUONCAMMINO - (chiuso);;;;DENOMINAZIONE TRADIZIONALE - BELLA VEDUTA.;
092009_000103;VIA PIETRO BEMBO;VIA CASTIGLIONE - VIA BANDELLO;850;27/03/1971;G.M.;CARDINALE, NOMINATO DA PAPA PAOLO III NEL 1539.LETTERATO E UMANISTA VENEZIANO.LA SUA OPERA FONDAMENTALE PROSE DELLA VOLGARE LINGUA EDITA NEL 1525.(NATO A VENEZIA NEL 1470 - MORTO A ROMA NEL 1547);
092009_000104;VIA GIOVANNI BERCHET;VIA RISORGIMENTO - VIA DELLA RESISTENZA;2666;13/09/1971;G.M.;POETA LIRICO E PATRIOTA.(NATO A MILANO NEL 1783 - MORTO NEL 1851).;
092009_000105;VIA BERLINO;VIA DELL'ABBAZIA - (chiuso);2303;05/07/1968;G.M.;CITTA' DELLA GERMANIA.;
092009_000106;VIA BERNA;VIA PRAGA - VIA COSTANTINOPOLI;2303;05/07/1968;G.M.;CITTA' CAPOLUOGO DELLA SVIZZERA. CANTONE DI LINGUA TEDESCA.;
092009_000107;VIA GIAN LORENZO BERNINI;VIA CRESPELLANI - VIA CARAVAGGIO;1706;14/05/1975;G.M.;SCULTORE E ARCHITETTO - CREATORE DELLO STILE BAROCCO. (NATO A NAPOLI NEL 1598 - MORTO A ROMA NEL 1680).;
092009_000108;PIAZZA DEI BERSAGLIERI;VIA FOSSE ARDEATINE - VIA FOSSE ARDEATINE;2666;13/09/1971;G.M.;SOLDATI APPARTENENTI AD UNA SPECIALITA' DEL CORPO DI FANTERIA DELLE FORZE ARMATE ITALIANE.FONDATA IL 18 GIUGNO 1836 DAL CAPITANO ALESSANDRO FERRERO DELLA MARMORA.;
092009_000109;VIA ENRICO BESTA;VIA DEXART - VIA VIDAL;2365;21/09/1961;G.M.;PROFESSORE UNIVERSITARIO DI STORIA E DIRITTO.AUTORE DI SARDEGNA MEDIOEVALE PUBBLICATA NEL 1908.MORI' NEL PRIMO VENTENNIO DI QUESTO SECOLO.;
092009_000110;VIA BEZZECCA;VIA MORELLI - VIA SAN FERMO;4799;16/11/1964;G.M.;GIA' TRAVERSA I MORELLI.COMUNE DEL TRENTINO ALTO ADIGE IN PROVINCIA DI TRENTO, NELLA VALLE DI LEDRO.NEL 1866 GARIBALDI VI SCONFISSE GLI AUSTRIACI.;
092009_000111;VIA GIUSEPPE BIASI;VIALE CIUSA - VIA CHIABRERA;1149;21/02/1964;G.M.;PITTORE. (NATO A SASSARI IL 23/10/1885 - MORTO NEL 1945).;
092009_000112;VIA ROBERTO BINAGHI;VIA G. BROTZU - VIA G. SETZU;249;23/02/1978;G.M.;ILLUSTRE PATOLOGO E CHIRURGO. OPERO' IN DETTI CAMPI SCIENTIFICI.RESSE PER 6 ANNI LA CARICA DI RETTORE DELL'UNIVERSITA' DI CAGLIARI.(NATO A CAGLIARI IL 31/3/1866 - MORTO A CAGLIARI IL 4/2/1931).;
092009_000113;VIA BINGIA BONARIA;VIA DELLE MESSI - VIA ARGIOLAS;83;27/12/1956;C.C.;DENOMINAZIONE TRADIZIONALE.;
092009_000114;VIA NINO BIXIO;VIA MORELLI - VIA EFISIO MELIS;4799;16/11/1964;G.M.;GIA' TRAVERSA III MORELLI - BIXIO GEROLAMO DETTO NINO, PATRIOTA, MARINAIO, GENERALE. SI DISTINSE NELLA GUERRA DEL 1849. (NATO A GENOVA NEL 1821 - MORTO NEL 1873). -;
092009_000115;VIA BLIGNY;VIA ARGONNE - VIA MONTENERO;131;29/01/1980;G.M.;VILLAGGIO DELLA FRANCIA DOVE SI SVOLSE UNA BATTAGLIA DELLA I GUERRA MONDIALE, ALLA QUALE PARTECIPO' LA II ARMATA ITALIANA;
092009_000116;VIA GIOVANNI BOCCACCIO;VIA TOMMASEO - VIA GIUSTI;83;27/12/1956;C.C.;NOVELLIERE.(NATO A PARIGI NEL 1313 - MORTO A CERTALDO NEL 1375);
092009_000117;VIA MATTEO MARIA BOIARDO;VIA TODDE - PIAZZA GIVANNI XXIII;2365;21/09/1961;G.M.;LETTERATO, POETA. LE SUE OPERE PIU' FAMOSE SONO: IL CANZONIERE AMOROSO E IL ROMANZO CAVALLERESCO L'ORLANDO INNAMORATO.(NATO A SCANDIANO 1440 - MORTO A REGGIO EMILIA IL 19/12/1494).;
092009_000118;VIA ARRIGO BOITO;VIA S.BENEDETTO - VIA PALESTRINA;;;;POETA, MUSICISTA E COMPOSITORE.(NATO A PADOVA NEL 1842 - MORTO A MILANO NEL 1918).;
092009_000119;VIA BOLOGNA;VIA MILANO - VIA RAVENNA;;;;CITTA' D'ITALIA. CAPOLUOGO DELL'EMILIA-ROMAGNA.;
092009_000120;PIAZZA BONARIA;VIALE BONARIA - VIA MILANO;;;;DENOMINAZIONE TRADIZIONALE. ANTISTANTE IL SANTUARIO OMONIMO.;
092009_000121;VIALE BONARIA;VIA XX SETTEMBRE - PIAZZA BONARIA;;;;CONDUCE AL COLLE DOVE SI TROVA IL SANTUARIO DELLA MADONNA DI BONARIA.;
092009_000122;VIA BONN;VIA DELL'ABBAZIA - (chiuso);1706;14/05/1975;G.M.;CITTA' DELLA GERMANIA.;
092009_000123;VIA BOREA;VIA SCIROCCO - VIA DEI MONSONI;1706;14/05/1975;G.M.;VENTO DI TRAMONTANA.;
092009_000124;VIA DEL BORGHETTO;VIA MONTECASSINO - VIA DELLE LUCCIOLE;850;27/03/1971;G.M.;DENOMINAZIONE TRADIZIONALE.;
092009_000125;VIA DEL BORGO SANT'ELIA;VIALE S.BARTOLOMEO - BORGO S.ELIA;83;27/12/1956;C.C.;DENOMINAZIONE TRADIZIONALE. UNO DEI PROFETI DI ISRAELE SEC. IX A.C.;
092009_000126;VIA FRANCESCO BORROMINI;VIA DE MARTIS - PIAZZA DELLE ARTI;1706;14/05/1975;G.M.;ARCHITETTO. (NATO NEL 1599 - MORTO NEL 1667).;
092009_000127;VIA BOSA;VIA S.GIOVANNI - PIAZZA GARIBALDI;129;15/12/1900;G.M.;CITTA' DELLA SARDEGNA IN PROVINCIA DI NUORO. (BOSANI O BOSANESI);
092009_000128;VIA BOSCO CAPPUCCIO;PIAZZA  S.MICHELE - VIALE MONASTIR;83;27/12/1956;C.C.;LOCALITA' DI BATTAGLIA DELLA GUERRA 1915/18.;
092009_000129;VIA DEL BOSSO;VIA BARRACCA MANNA - VIA TAMBURINO SARDO;850;27/03/1971;G.M.;(BOXUS SEMPERVIRENS) PIANTA SEMPREVERDE DAL LEGNO DURISSIMO, DELLA FAMIGLIA BUXACEE, SPONTANEA NELLA REGIONE MEDITERRANEA, VIENE COLTIVATA SOPRATTUTTO A SCOPO ORNAMENTALE.;
092009_000130;VIA VITTORIO BOTTEGO;PIAZZA CIMITERO - VIALE ARMANDO DIAZ;;;;ESPLORATORE.(NATO A SAN LAZZARO PARMENSE NEL 1860 - MORTO A JELLEM NEL 1897).;
092009_000131;VIA BOTTICELLI;VIA CARPACCIO - (chiuso);1706;14/05/1975;G.M.;PITTORE. FILIPEPI SANDRO, DETTO BOTTICELLI.;
092009_000132;VIA MARCO ANTONIO BRAGADIN;VIA ENRICO TOTI - VIA BALILLA;;;;GENERALE VENEZIANO, PERSE LA VITA NELL'ASSEDIO DI FAMAGOSTA.(NATO NEL 1525 - MORTO NEL 1571);
092009_000133;VIA BRENTA;VIA PO - (nuovo raccordo);2365;21/09/1961;G.M.;GIA' TRAVERSA BAINSIZZA.FIUME DEL VENETO NELL' ITALIA SETTENTRIONALE.NASCE DAI LAGHI DI CALDONAZZO E LEVICO, PERCORRE LA VALSUGANA E LA VALLE CANAL DI BRENTA, ENTRA NELLA PIANURA A BASSANO DEL GRAPPA E SI GETTA NELL'ADRIATICO VICINO A BRONDOLO, SUO AFFLUENTE IL CISMON.E' NAVIGABILE PER 8 KM. LUNGO 174 Km.LUNGO LE SUE RIVE SORGONO NUMEROSE E SPLENDIDE VILLE DEL XV / XVIII SECOLO.;
092009_000134;VIA BRESCIA;VIA ANCONA - VIA MILANO;1429;25/09/1951;G.M.;CITTA' D'ITALIA - CAPOLUOGO DI PROVINCIA OMONIMA - REGIONE LOMBARDIA.;
092009_000135;VIA ANTONIO BRESCIANI;VIA CABONI - (chiuso);83;27/12/1956;C.C.;SACERDOTE GESUITA, SCRITTORE.( NATO NEL 1798 - MORTO A ROMA NEL 1862 ).;
092009_000136;VIA BRIANZA;VIA CORNALIAS - VIA QUIRRA;2303;05/07/1968;G.M.;REGIONE PREVALENTEMENTE COLLINOSA DELLA LOMBARDIA TRA IL CORSO DEL SEVESO A OVEST E DELL'ADDA A EST.E' DELIMITATO A NORD DALLA FASCIA PEDEMONTANA TRA COMO E LECCO E A SUD DALLA CITTA' DI MONZA. E' SOLCATA DAL FIUME LAMBRO E COMPRENDE ALCUNI PICCOLI LAGHI TRA CUI QUELLO DI MONTORFANO E DI PUSIANO.;
092009_000137;VIA BRIGATA SASSARI;VIA TRINCEA DELLE FRASCHE - VIA DOBERDO';1429;25/09/1951;G.M.;CORPO DI TRUPPA FORMATO DA DUE REGGIMENTI.LA BRIGATA SASSARI COSTITUITA DI SOLDATI SARDI E' LA PIU' DECORATA DELL'ESERCITO: 4 MEDAGLIE D'ORO ALLE BANDIERE E DUE ORDINI D'ITALIA.;
092009_000138;VIA AOSTA;VIALE A.DIAZ - (chiuso);1149;21/02/1964;G.M.;SOSTITUISCE LA II TRAVERSA DIAZ.CITTA' ITALIANA, CAPOLUOGO DI PROVINCIA DAL 6/12/1926.PUNTO D'INCONTRO DELLE STRADE DEL GRANDE E PICCOLO S. BERNARDO.;
092009_000139;VIA GIUSEPPE BROTZU;VIA PIERO DELLA FRANCESCA - VIA ASQUER;249;23/02/1978;G.M.;ILLUSTRE CITTADINO CHE OPERO' NELLA RICERCA SCIENTIFICA.SCOPRI' LA CEFALOSPORINA OGGI RICHIESTISSIMO ANTIBIOTICO.UOMO POLITICO PRESIDENTE DELLA GIUNTA SARDA E SINDACO DI CAGLIARI.DURANTE LA SUA LUNGA ATTIVITA' SCIENTIFICA GLI VENNERO CONFERITI NUMEROSI RICONOSCIMENTI ACCADEMICI.(NATO A CAGLIARI IL 24/1/895 - MORTO A CAGLIARI IL 8/4/976);
092009_000140;VIA VINCENZO BRUSCU ONNIS;VIALE TRIESTE - VIA CARLOFORTE;2365;21/09/1961;G.M.;INSIGNE LETTERATO, GIORNALISTA E UOMO POLITICO.(NATO A CAGLIARI IL 13/12/1822 - MORTO A MILANO IL 21/11/1888 );
092009_000141;VIA BRUXELLES;VIA GALVANI - VIA COSTANTINOPOLI;2303;05/07/1968;G.M.;CAPITALE DEL BELGIO. SULLA SENNA.;
092009_000142;VIA BUCCARI;VIA COL DEL ROSSO - VIA BOSCO CAPPUCCIO;2679;29/07/1966;G.M.;SOSTITUISCE IL VICO COL DEL ROSSO.IN ONORE DELL'IMPRESA COMPIUTA DA 3 MAS ITALIANI IL 10/11 FEBBRAIO 1918. CON L'INTERVENTO DI G. D'ANNUNZIO.;
092009_000143;VIA BUCAREST;VIA ATENE - (chiuso);2303;05/07/1968;G.M.;CAPOLUOGO DEL REGNO DI ROMANIA.;
092009_000144;VIA BUDAPEST;VIA DUBLINO - VIA STOCCOLMA;2303;05/07/1968;G.M.;CAPITALE DELL'UNGHERIA.;
092009_000145;VIA BUGGERRU;VIA LA NURRA - VIA CIOCIARIA;1149;21/02/1964;G.M.;COMUNE DELLA SARDEGNA IN PROVINCIA DI CAGLIARI - LOCALITA' MINERARIA. (BUGGERRAI);
092009_000146;VIALE BUONCAMMINO;PIAZZA ARSENALE - PIAZZA D'ARMI;350;19/02/1930;D.P.;TRAE ORIGINE DALLA CHIESA DI NOSTRA SIGNORA DEL BUON CAMMINO, OGGI CHIESA DI SAN LORENZO.;
092009_000147;VIA CARLO BURAGNA;VIA AZUNI - VICO II S. EFISIO;129;15/12/1900;G.M.;GIA' VIA SANT' ANTONEDDU (SEC.XVII). POETA.;
092009_000148;VIA ARMANDO BUSINCO;VIA ROBERTO BINAGHI - (chiuso);249;23/02/1978;G.M.;ILLUSTRE PATOLOGO.INSEGNO' NELLE UNIVERSITA' DI PERUGIA, PALERMO, CAGLIARI E BOLOGNA, FONDO' LA PIU' AUTOREVOLE SCUOLA DI PATOLOGIA ANATOMICA.(NATO A JERZU IL 11/6/886 - MORTO A CAGLIARI IL 4/9/967).;
092009_000149;VIA STANISLAO CABONI;VIA DEGIOANNIS - VIA RAVENNA;1149;21/02/1964;G.M.;GIA' VIA TOMASO NAPOLI. LETTERATO, POETA SARDO.( MORTO A CAGLIARI NEL 1880 ).;
092009_000150;VIA SEBASTIANO CABOTO;VIALE ARMANDO DIAZ - CALATA DEI TRINITARI;2666;13/09/1971;G.M.;NAVIGATORE VENEZIANO - SCOPRI' NEL 1517 LO STRETTO DI HUDSON. ( NATO NEL 1477 - MORTO NEL 1555 ).;
092009_000151;VIA SALVATORE CADEDDU;VIA CILLOCCO - VIA MONTELEONE;2365;21/09/1961;G.M.;AVVOCATO. FINISCE TRAGICAMENTE PER DELITTO POLITICO.;
092009_000152;VIA DIEGO GREGORIO CADELLO;VIA IS MIRRIONIS - VIA DEI CARROZ;1149;21/02/1964;G.M.;ARCIVESCOVO DI CAGLIARI, POI CARDINALE.(NATO A CAGLIARI IL 12/2/1735 - MORTO A CAGLIARI IL 5/7/1807).;
092009_000153;VIA GENERALE STEFANO CAGNA;VIA DEI SALINIERI - VIA IS GUADAZZONIS;1149;21/02/1964;G.M.;GENERALE PILOTA - EROE DELL'ULTIMA GUERRA MONDIALE. (NATO A ORMEA CUNEO NEL 1901 - MORTO IL 1/8/940 NEL MEDITERRANEO).;
092009_000154;VIA FRATELLI CAIROLI;VIA CERNAIA - VIA DEI CARBONARI;2365;21/09/1961;G.M.;ILLUSTRE FAMIGLIA DI PAVIA: DIEDE IL SUO SANGUE PER L'INDIPENDENZA D'ITALIA.( ADELAIDE, BENEDETTO, ENRICO ED ERNESTO ).;
092009_000155;VIA CALABRIA;CHIUSO -  VIA TOSCANA;;;;REGIONE D'ITALIA.;
092009_000156;VIA DEI CALAFATI;VIALE PULA - (canale industriale);850;27/03/1971;G.M.;GIA' VICO PULA. IN RICORDO DEI CALAFATARI CHE LAVORAVANO IN EPOCA ANTICA ALLA COSTRUZIONE DEI VELIERI.;
092009_000157;VIA CALAMATTIA;VIA RIVA VILLASANTA - VIA S.MARIA CHIARA;1706;14/05/1975;G.M.;DENOMINAZIONE STORICA DEL LUOGO.;
092009_000158;VIALE CALAMOSCA;PIAZZA S.BARTOLOMEO - CALAMOSCA;327;26/02/1955;G.M.;DENOMINAZIONE TRADIZIONALE.;
092009_000159;VIA CAMALDOLI;VIA SU PLANU - (chiuso);2365;21/09/1961;G.M.;LOCALITA' DEL COMUNE DI POPPI (TOSCANA) IN PROVINCIA DI AREZZO.FAMOSA PERCHE' VI SORGE LA CASA MADRE DEI PADRI CAMALDOLESI. ( ORDINE RELIGIOSO FORMATO DA SAN ROMUALDO NEL 1012).;
092009_000160;PIAZZA SALVATORE CAMBOSU;VIA DELLA PINETA - VIA MILANO;2666;13/09/1971;G.M.;ROMANZIERE, NOVELLIERE E SAGGISTA. (NATO A OROTELLI NEL 1895 - MORTO A NUORO 1962).;
092009_000161;VIA CAMMINO NUOVO;VIA UNIVERSITA' - VIA DEI GENOVESI;129;15/12/1900;G.M.;COSTITUIVA LA RAMPA D'ACCESSO AL CASTELLO.;
092009_000162;VIA CAMPANIA;VIA LIGURIA - VIA IS MIRRIONIS;1149;21/02/1964;G.M.;REGIONE D'ITALIA;
092009_000163;VIA CAMPEDA;VIA ABRUZZI - VIA MANDROLISAI;2679;29/07/1966;G.M.;GIA' TRAVERSA ABRUZZI.LOCALITA' DELLA SARDEGNA TRA BONORVA E MACOMER.;
092009_000164;VIA DEI CAMPI;VIA DELL'ABBONDANZA - VIA ARGIOLAS;83;27/12/1956;C.C.;DENOMINAZIONE TRADIZIONALE.;
092009_000165;VIA CAMPIDANO;PIAZZA DEFFENU - VIA SONNINO;129;15/12/1900;G.M.;PIANURA SARDA CHE VA DAL GOLFO DI CAGLIARI AL GOLFO DI ORISTANO.;
092009_000166;VIA CAMPO PISANO;VIA CORTOGHIANA - VIA QUINTINO SELLA;2365;21/09/1961;G.M.;DENOMINAZIONE TRADIZIONALE. - MINIERA VICINA A MONTEPONI, (PROVINCIA DI CAGLIARI) IMPORTANTE PER LA PRODUZIONE DI PIRITE.;
092009_000167;VIA CAMPO SCIPIONE;VIA S.PAOLO - VIA SANTA GILLA;2303;05/07/1968;G.M.;CELEBRE FAMIGLIA PATRIZIA ROMANA CHE DETTE MOLTI PERSONAGGI ILLUSTRI.;
092009_000168;VIA GIOVANNI CANALIS;VIA GALIMBERTI - VIA CORONA;1706;14/05/1975;G.M.;PATRIOTA E MARTIRE DELLA RESISTENZA.;
092009_000169;VIA CANAVESE;VIA PIEMONTE - VIA LOMELLINA;1706;14/05/1975;G.M.;SOSTITUISCE VICO II PIEMONTE. REGIONE STORICA-GEOGRAFICA DEL PIEMONTE NORD OCCIDENTALE IN PROVINCIA DI TORINO, FRA IL PO, LA STURA DI LANZO, LA SERRA D'IVREA, LE VETTE DELLE ALPI CRAIE E IL MASSICCIO DEL GRAN PARADISO.SI VA DALLA PIANURA ALLE COLLINE E ALLE VALLATE ALPINE DOMINATE DA IMPONENTI VETTE. CAPOLUOGO: IVREA. ORIGINARIAMENTE ABITATA DAI SALASSI , CONQUISTATA DAI ROMANI NEL 22 a.C.LA REGIONE PRENDE IL NOME DA UN' ANTICA TERRA PRESSO L' ORCO, CANAVA .;
092009_000170;VIA NICOLO' CANELLES;BASTIONE S. CATERINA - PIAZZA INDIPENDENZA;;;;GIA' RUGA MARINARIORUM. GIA' VIA DEI CAVALIERI E COLLE SANTA CATERINA. VESCOVO DI BOSA, IL PRIMO CHE INTRODUSSE L'ARTE TIPOGRAFICA IN SARDEGNA. (NATO NEL 1515 - MORTO A CAGLIARI NEL 1585).;
092009_000171;VIA LUIGI CANEPA;VIA PALESTRINA - (ferrovia);327;26/02/1955;G.M.;MUSICISTA. (NATO A SASSARI NEL 1849 - MORTO A SASSARI NEL 1914).;
092009_000172;VIA DEL CANNETO;VIA DEL COLLE - VIA TORRICCELLI;2365;21/09/1961;G.M.;DENOMINAZIONE TRADIZIONALE - TERRENO PIANTATO A CANNE.;
092009_000173;VIA STANISLAO CANNIZZARO;VIA TALETE - VIA ALESSANDRO VOLTA;2679;29/07/1966;G.M.;INSIGNE CHIMICO DI PALERMO.DETERMINO' LA TEORIA ATOMICA E FRA L'ALTRO SCOPRI' GLI ACIDI BENZILICO E SANTONICO.(NATO A PALERMO NEL 1826 - MORTO A PALERMO NEL 1910);
092009_000174;VIA GENERALE CANTORE;VIA ENRICO TOTI - VIA ARGIOLAS;;;;GENERALE DI FANTERIA - MEDAGLIA D'ORO ALLA MEMORIA. (NATO A SAMPIERDARENA NEL 1860 - MORTO A MONTE TOFANE IL 20/7/1915).;
092009_000175;VIA EFISIO CAO DI SAN MARCO;VIA BACAREDDA - VIA S.ALENIXEDDA;2679;29/07/1966;G.M.;SOSTITUISCE LA VIA SAN VETRANO.SINDACO DI CAGLIARI NEL 1846.;
092009_000176;VIA CAPITANATA;VIA CAMPANIA - VIA CAMPANIA;2303;05/07/1968;G.M.;REGIONE STORICA DELLE PUGLIE, CORRISPONDENTE ALLA PROVINCIA DI FOGGIA. IL NOME DERIVA DAI SUOI GOVERNATORI ( CATAPANI ) AL TEMPO DEL DOMINIO BIZANTINO.;
092009_000177;VIA ROCCO CAPPELLINO;VIA G. CAPULA - VIA MAINAS;4799;16/11/1964;G.M.;ARCHITETTO CREMONESE, GIUNTO IN SARDEGNA NEL 1552 - INCARICATO DA CARLO V DI RIORGANIZZARE LE FORTIFICAZIONI.;
092009_000178;VIA PIER CAPPONI;VIA FIERAMOSCA - (chiuso);;;;APPARTENENTE AD UNA ILLUSTRE FAMIGLIA FIORENTINA, NOTO PER IL DIVERBIO COL RE CARLO VIII PER IL PREDOMINIO SULLA SIGNORIA DI FIRENZE.( MORTO NEL 1497).;
092009_000179;VIA DEI CAPRAIA;VIA GIUDICE CHIANO - VIA DEI VISCONTI;1149;21/02/1964;G.M.;ANTICA FAMIGLIA PISANA.;
092009_000180;VIA CAPRERA;VIALE TRIESTE - CORSO VITTORIO EMANUELE;129;15/12/1900;G.M.;GIA' VIA DELLE OSTERIE. ISOLA SITUATA NELLA COSTA N.E. DELLA SARDEGNA. FAMOSA PER ESSERE STATA SCELTA DA GARIBALDI QUALE SUA ULTIMA DIMORA.;
092009_000181;VIA CAPRI;VIALE POETTO - VIA LUNGO SALINE;1149;21/02/1964;G.M.;ISOLA DEL GOLFO DI NAPOLI. FAMOSA GIA' DALL'EPOCA ROMANA.;
092009_000182;VIA GIOVANNI CAPULA;VIA GIUDICE CHIANO - VIA BIASI;4799;16/11/1964;G.M.;ARCHITETTO, COSTRUTTORE DELLE TORRI DI S.PANCRAZIO E DELL'ELENFANTE.;
092009_000183;VIA CARAVAGGIO;VIA CRESPELLANI - VIA BERNINI;1706;14/05/1975;G.M.;GRANDE PITTORE ITALIANO.(NATO NEL 1569 - MORTO NEL 1609).;
092009_000184;VIA DEI CARBONARI;VIA RISORGIMENTO -  VIA VESALIO;2365;21/09/1961;G.M.;MEMBRI DELLA CELEBRE SOCIETA' SEGRETA ITALIANA (CARBONERIA) COSTITUITASI NEL NAPOLETANO VERSO IL 1812.;
092009_000185;VIA GIOVANNI ANTONIO CARBONAZZI;VIA PALABANDA - VIA TIGELLIO;1149;21/02/1964;G.M.;GIA' TRAVERSA TIGELLIO. INGEGNERE, COSTRUTTORE E PROGETTISTA DELLA S.S. CARLO FELICE.;
092009_000186;VIA CARBONIA;VIA LANUSEI - VIA SONNINO;35;17/07/1950;C.C.;COMUNE DELLA SARDEGNA IN PROVINCIA DI CAGLIARI. CENTRO MINERARIO DEL BACINO DEL SULCIS.FONDATA NEL 1938 PER LO SFRUTTAMENTO DEI GIACIMENTI CARBONIFERI.(CARBONIENSI);
092009_000187;VIA ENRICO CARBONI BOI;VIA TUVERI - VIA SCANO;83;27/12/1956;C.C.;AVVOCATO PARLAMENTARE. (MORTO A CAGLIARI IL 18/4/1925);
092009_000188;VIA GEROLAMO CARDANO;VIA MEUCCI - VIA MEUCCI;1706;14/05/1975;G.M.;MATEMATICO, MEDOCO, FILOSOFO ASTRONOMO.INVENTORE DEL GIUNTO CARDANICO.(NATO A PAVIA NEL 1501 - MORTO NEL 1576).;
092009_000189;VIA GIOSUE' CARDUCCI;VIA PAOLI - VIA BACAREDDA;219;03/12/1925;C.P.;POETA. PREMIO NOBEL PER LA LETTERATURA. (NATO A VAL DI CASTELLO NEL 1835 - MORTO A BOLOGNA NEL 1907).;
092009_000190;PIAZZA CARLO ALBERTO;VIA LAMARMORA- VIA CANELLES;;;;RE SARDO PIEMONTESE. NELLA PIAZZA AD ESSO DEDICATA VENIVANO ESEGUITE LE SENTENZE CAPITALI.;
092009_000191;LARGO CARLO FELICE;VIA ROMA - PIAZZA YENNE;129;15/12/1900;G.M.;GIA' PIAZZA DEL MERCATO.RE SARDO PIEMONTESE.(NATO NEL 1765 - MORTO NEL 1831).;
092009_000192;VIA CARLO EMANUELE TERZO;VIA ITALIA - VIA DELLE SPIGHE;;;;SECONDO DOGE DEL RE VITTORIO AMEDEO II. (NATO NEL 1638 - MORTO NEL 1773).;
092009_000193;VIA CARLOFORTE;CORSO VITTORIO EMANUELE - VIA POLA;129;15/12/1900;G.M.;COMUNE DELLA SARDEGNA IN PROVINCIA. DI CAGLIARI.SITUATO NELL'ISOLA DI SAN PIETRO, FONDATA DA CARLO EMANUELE III. (AB. CARLOFORTINI);
092009_000194;PIAZZA CARMINE;VIA SASSARI - VIA LA MADDALENA;0;09/05/1931;D.P.;IN ONORE DELLA BEATA VERGINE DEL CARMELO IN QUANTO VICINA ALL'OMONIMA CHIESA.;
092009_000195;VIA CARNIA;VIA LA SOMME - VIA BOSCO CAPUCCIO;276;27/01/1984;G.M.;LOCALITA' MONTUOSA DEL VENETO DOVE SI SVOLSERO IMPORTANTI BATTAGLIE.;
092009_000196;VIA VITTORE CARPACCIO;VIA GIOTTO - VIA BOTTICELLI;1706;14/05/1975;G.M.;CELEBRE PITTORE VENEZIANO. (NATO NEL 1450 - MORTO NEL 1522).;
092009_000197;VIA FRANCESCO CARRARA;VIA PESSINA - VIA DEGIOANNIS;;;;GIURISTA LUCCHESE .(NATO NEL 1805 - MORTO NEL 1888).;
092009_000198;VIA MARTINO CARRILLO;VIA SANJUST - VIA ROSSELLO`;4799;16/11/1964;G.M.;SCRITTORE, STORICO, CANONICO DI SARAGOZZA. (SECOLO XVI - XVII);
092009_000199;VIA DEI CARROZ;VIALE CIUSA - VIA CADELLO;850;27/03/1971;G.M.;FAMIGLIA ARAGONESE .;
092009_000200;VIA BOLZANO;VIA ARMANDO DIAZ - (chiuso);1149;21/02/1964;G.M.;SOSTITUISCE LA I TRAVERSA DIAZ.CITTA' ITALIANA. CAPOLUOGO DELLA PROVINCIA OMONIMA.;
092009_000201;VIA CARTESIO;VIA MARCONI - (stagno);2666;13/09/1971;G.M.;RENE' DESCART - FILOSOFO, MATEMATICO.(NATO NEL 1596 - MORTO NEL 1650).;
092009_000202;VIA CASTAGNE VIZZA;VIA TIMAVO - VIA TRINCEA DELLE FRASCHE;850;27/03/1971;G.M.;LOCALITA' DI BATTAGLIA DELLA GUERRA 1915/18.;
092009_000203;VIA CASTELFIDARDO;VIA MONTENOTTE - VIA PASTRENGO;2303;05/07/1968;G.M.;COMUNE DELLE MARCHE IN PROVINCIA DI ANCONA. NEL MEDIOEVO: BORGO GHIBELLINO, DAL XIII SECOLO APPARTIENE ALLA CHIESA,NEL 1860 L'ESERCITO PIEMONTESE SCONFISSE QUELLO PONTIFICIO.;
092009_000204;PIAZZA DEI CASTELLANI;VIA ABRUZZI - VIA PUGLIE;2303;05/07/1968;G.M.;DENOMINAZIONE TRADIZIONALE.;
092009_000205;VIA AGOSTINO CASTELLI;VIA IS MAGLIAS - (chiuso);276;27/01/1984;G.M.;CAPITANO DEI CAVALLEGGERI DI SARDEGNA. MEDAGLIA D'ORO. DIRESSE LA LOTTA CONTRO I BANDITI CHE TERRORIZAVANO LA SARDEGNA.(NATO A CAGLIARI IL 8/10/1799 - MORTO IL 1/6/1848).;
